"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"135",2020-05-26,26,5,2020,682,4,"Nepal","NP","NPL",28087871,"Asia"
"136",2020-05-27,27,5,2020,772,4,"Nepal","NP","NPL",28087871,"Asia"
"137",2020-05-28,28,5,2020,886,4,"Nepal","NP","NPL",28087871,"Asia"
"138",2020-05-29,29,5,2020,1042,5,"Nepal","NP","NPL",28087871,"Asia"
"139",2020-05-30,30,5,2020,1212,6,"Nepal","NP","NPL",28087871,"Asia"
"140",2020-05-31,31,5,2020,1401,6,"Nepal","NP","NPL",28087871,"Asia"
"141",2020-06-01,1,6,2020,1572,8,"Nepal","NP","NPL",28087871,"Asia"
"142",2020-06-02,2,6,2020,1798,8,"Nepal","NP","NPL",28087871,"Asia"
"143",2020-06-03,3,6,2020,2099,8,"Nepal","NP","NPL",28087871,"Asia"
"144",2020-06-04,4,6,2020,2300,9,"Nepal","NP","NPL",28087871,"Asia"
"145",2020-06-05,5,6,2020,2634,10,"Nepal","NP","NPL",28087871,"Asia"
"146",2020-06-06,6,6,2020,2912,11,"Nepal","NP","NPL",28087871,"Asia"
"147",2020-06-07,7,6,2020,2912,11,"Nepal","NP","NPL",28087871,"Asia"
"148",2020-06-08,8,6,2020,3448,13,"Nepal","NP","NPL",28087871,"Asia"
"149",2020-06-09,9,6,2020,3762,14,"Nepal","NP","NPL",28087871,"Asia"
"150",2020-06-10,10,6,2020,4085,15,"Nepal","NP","NPL",28087871,"Asia"
"151",2020-06-11,11,6,2020,4364,15,"Nepal","NP","NPL",28087871,"Asia"
"152",2020-06-12,12,6,2020,4614,15,"Nepal","NP","NPL",28087871,"Asia"
"153",2020-06-13,13,6,2020,5062,16,"Nepal","NP","NPL",28087871,"Asia"
